Longitude,Latitude,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating text,Votes,Complexity_Score,Order_Item_Count,Active_Orders_In_Kitchen,Actual_KPT_Minutes,Day_of_Week_Weekday,Day_of_Week_Weekend,Time_Slot_Dinner_Peak,Time_Slot_Lunch_Peak,Time_Slot_Morning,Time_Slot_Tea_Time,Weather_Condition_Clear,Weather_Condition_Rainy,Weather_Condition_Stormy
121.027535,14.565443,1100,1,0,0,0,3,4.8,1,314,3,6,11,64.64,1,0,1,0,0,0,1,0,0
121.014101,14.553708,1200,1,0,0,0,3,4.5,1,591,2,6,6,39.4,1,0,0,0,1,0,1,0,0
121.056831,14.581404,4000,1,0,0,0,4,4.4,5,270,2,2,16,44.45,1,0,0,1,0,0,1,0,0
121.056475,14.585318,1500,0,0,0,0,4,4.9,1,365,2,7,23,64.57,1,0,0,1,0,0,1,0,0
121.057508,14.58445,1500,1,0,0,0,4,4.8,1,229,2,3,20,61.53,0,1,1,0,0,0,1,0,0
121.056314,14.583764,1000,0,0,0,0,3,4.4,5,336,2,7,13,47.62,1,0,0,0,1,0,1,0,0
120.9796667,14.53133333,2000,1,0,0,0,4,4.0,5,520,2,4,22,64.43,0,1,1,0,0,0,1,0,0
120.9793333,14.54,2000,1,0,0,0,4,4.2,5,677,2,1,16,49.78,0,1,0,0,0,1,0,1,0
120.98009,14.55299,6000,1,0,0,0,4,4.9,1,621,2,3,20,53.16,0,1,0,0,0,1,1,0,0
121.056532,14.572041,1100,1,0,0,0,3,4.8,1,532,2,6,4,44.61,1,0,0,0,0,1,0,1,0
121.057916,14.567689,800,0,0,0,0,3,4.9,1,1070,2,4,8,49.3,0,1,0,1,0,0,0,1,0
121.06082,14.570849,900,1,0,0,0,3,4.2,5,488,2,6,0,40.43,0,1,0,0,1,0,0,1,0
121.075419,14.649503,800,0,0,0,0,3,4.8,1,294,2,3,19,60.49,1,0,1,0,0,0,1,0,0
121.0335917,14.59345,1000,1,0,0,0,3,4.2,5,458,2,6,6,46.58,1,0,0,1,0,0,0,1,0
121.03811,14.59889,700,0,0,0,0,3,4.3,5,223,2,8,13,49.89,0,1,0,1,0,0,0,0,1
121.05704,14.237082,800,0,0,0,0,3,3.6,2,29,2,8,12,49.31,0,1,0,0,0,1,1,0,0
121.0565874,14.23767897,850,0,0,0,0,3,4.0,5,72,2,2,18,58.97,1,0,1,0,0,0,1,0,0
120.951589,14.101834,1200,1,0,0,0,3,4.5,1,211,2,8,14,62.4,1,0,0,0,0,1,0,1,0
121.045878,14.55436,600,0,0,0,0,2,4.5,1,118,2,1,0,26.58,1,0,0,1,0,0,1,0,0
121.04622,14.549337,1500,1,0,0,0,4,4.4,5,392,2,2,7,43.68,1,0,1,0,0,0,1,0,0
121.053725,14.545858,3000,1,0,0,0,4,4.7,1,535,2,5,9,49.12,1,0,0,0,1,0,0,1,0
121.0534998,14.54565535,1800,1,0,0,0,4,4.5,1,618,2,5,4,43.06,0,1,0,1,0,0,0,1,0
-47.88178889,-15.76414167,55,0,0,0,0,2,3.0,0,6,2,2,4,29.37,1,0,0,1,0,0,1,0,0
-47.88266667,-15.7775,30,0,0,0,0,1,3.8,2,9,1,6,24,57.58,1,0,0,1,0,0,1,0,0
-47.88213611,-15.75747222,45,0,0,0,0,2,3.7,2,11,2,2,12,52.65,1,0,1,0,0,0,1,0,0
-47.88816667,-15.75883333,60,0,0,0,0,3,3.8,2,11,2,9,10,47.2,0,1,0,0,1,0,1,0,0
-47.91566667,-15.83116667,50,0,0,0,0,2,3.2,0,11,2,1,6,35.01,1,0,0,0,0,1,1,0,0
-47.91566667,-15.831,80,0,0,0,0,3,3.1,0,10,2,3,9,39.77,1,0,0,1,0,0,1,0,0
-47.9075,-15.82,90,0,0,0,0,3,3.7,2,8,2,3,17,58.82,0,1,1,0,0,0,1,0,0
-47.91016667,-15.82733333,200,0,0,0,0,4,3.7,2,5,2,9,17,56.12,1,0,0,0,0,1,1,0,0
-47.89016667,-15.797,30,0,0,0,0,1,0.0,3,2,2,4,24,75.76,1,0,1,0,0,0,0,1,0
-47.92366667,-15.83133333,150,0,0,0,0,4,4.1,5,12,2,3,5,46.5,1,0,1,0,0,0,1,0,0
-48.019,-15.83716667,100,0,0,0,0,4,3.1,0,9,2,6,8,52.11,1,0,1,0,0,0,1,0,0
-48.01909167,-15.839775,60,0,0,0,0,3,3.6,2,9,1,4,10,44.32,1,0,1,0,0,0,1,0,0
-48.01666667,-15.83483333,100,0,0,0,0,4,4.3,5,29,1,1,14,36.82,0,1,0,0,1,0,1,0,0
-47.889,-15.7865,230,0,0,0,0,4,4.2,5,17,2,6,24,62.07,1,0,0,0,1,0,1,0,0
-47.872359,-15.860621,100,0,0,0,0,4,3.6,2,5,2,9,14,57.18,0,1,0,1,0,0,0,0,1
-47.95628333,-15.83451389,150,0,0,0,0,4,4.0,5,10,2,2,12,42.86,0,1,0,0,0,1,1,0,0
-47.87283333,-15.82566667,240,0,0,0,0,4,3.2,0,6,1,7,18,61.03,1,0,1,0,0,0,1,0,0
-47.8685,-15.819,230,0,0,0,0,4,4.9,1,30,2,6,2,36.91,1,0,0,0,0,1,1,0,0
-47.885812,-15.720118,350,0,0,0,0,4,3.3,0,8,2,2,3,30.8,0,1,0,1,0,0,1,0,0
-47.92102778,-15.79753056,50,0,0,0,0,2,3.6,2,9,1,7,4,30.42,1,0,0,0,1,0,1,0,0
-43.377,-23.0115,140,0,0,0,0,4,4.0,5,7,2,1,0,35.45,1,0,1,0,0,0,1,0,0
-43.178826,-22.905293,100,0,0,0,0,4,4.8,1,29,1,8,23,55.33,1,0,0,1,0,0,1,0,0
-43.18669167,-22.97207222,60,0,0,0,0,3,4.7,1,24,1,9,4,33.46,0,1,0,0,0,1,1,0,0
-43.17583333,-22.96216667,90,0,0,0,0,3,4.5,1,29,1,1,0,24.05,1,0,0,0,1,0,0,1,0
-43.176,-22.96516667,170,0,0,0,0,4,4.2,5,11,2,8,8,43.11,0,1,0,0,0,1,1,0,0
-43.191,-22.98683333,60,0,0,0,0,3,4.8,1,19,1,2,16,40.32,1,0,0,0,1,0,1,0,0
-43.227042,-22.973507,100,0,0,0,0,4,4.9,1,40,2,4,16,49.89,1,0,0,0,1,0,1,0,0
-43.211425,-22.98520833,90,0,0,0,0,3,4.6,1,21,2,4,3,30.69,1,0,0,1,0,0,1,0,0
-43.203,-22.98533333,120,0,0,0,0,4,4.9,1,49,2,4,0,32.11,1,0,0,0,0,1,1,0,0
-43.20520833,-22.98531944,170,0,0,0,0,4,4.6,1,21,2,2,8,33.76,1,0,0,0,0,1,1,0,0
-43.219563,-22.966647,90,0,0,0,0,3,4.3,5,14,2,6,19,58.2,1,0,0,0,0,1,1,0,0
-43.34879167,-22.99991111,150,0,0,0,0,4,4.0,5,5,2,5,6,40.31,0,1,0,0,1,0,1,0,0
-43.227,-22.98416667,250,0,0,0,0,4,4.6,1,25,2,3,6,47.66,1,0,1,0,0,0,1,0,0
-43.22566667,-22.98516667,120,0,0,0,0,4,4.4,5,13,2,4,9,54.8,0,1,1,0,0,0,0,1,0
-43.17279167,-22.963925,40,0,0,0,0,2,4.2,5,7,2,5,12,43.89,1,0,0,0,1,0,1,0,0
-43.17126389,-22.96337222,250,0,0,0,0,4,4.2,5,8,2,2,3,32.25,0,1,0,0,0,1,1,0,0
-43.341164,-22.870413,70,0,0,0,0,3,0.0,3,1,1,1,24,49.57,1,0,0,0,0,1,1,0,0
-43.18736944,-22.92481389,300,0,0,0,0,4,4.7,1,44,2,4,10,41.5,0,1,0,0,0,1,1,0,0
-43.21551111,-22.91370833,85,0,0,0,0,3,4.6,1,24,2,7,3,39.71,0,1,0,1,0,0,1,0,0
-43.16266667,-22.94783333,80,0,0,0,0,3,4.3,5,10,2,5,6,37.74,1,0,0,0,1,0,1,0,0
-46.64516667,-23.55066667,250,0,0,0,0,4,4.5,1,49,2,7,15,54.81,1,0,0,1,0,0,1,0,0
-46.64633333,-23.559,250,0,0,0,0,4,4.4,5,17,3,1,19,55.44,1,0,0,1,0,0,1,0,0
-46.65866667,-23.55616667,70,0,0,0,0,3,3.1,0,5,3,4,16,56.76,1,0,0,0,0,1,1,0,0
-46.657523,-23.55671,100,0,0,0,0,4,4.1,5,15,2,5,6,46.85,1,0,1,0,0,0,1,0,0
-46.666851,-23.581688,300,0,0,0,0,4,4.8,1,59,1,4,9,43.53,0,1,1,0,0,0,1,0,0
-46.67511,-23.582135,120,0,0,0,0,4,4.6,1,30,2,8,20,59.27,1,0,0,0,1,0,1,0,0
-46.683888,-23.585324,75,0,0,0,0,3,3.9,2,5,3,5,0,39.79,1,0,0,0,0,1,1,0,0
-46.67566667,-23.581,55,0,0,0,0,2,0.0,3,0,2,6,2,37.91,0,1,0,0,1,0,1,0,0
-46.666041,-23.561568,200,0,0,0,0,4,3.4,0,73,3,9,8,55.15,1,0,0,1,0,0,1,0,0
-46.657418,-23.571638,120,0,0,0,0,4,3.5,2,9,2,1,15,42.29,1,0,0,0,1,0,1,0,0
-46.66983333,-23.5655,300,0,0,0,0,4,4.3,5,39,2,6,8,62.58,1,0,1,0,0,0,0,1,0
-46.67133333,-23.59233333,230,0,0,0,0,4,3.9,2,12,2,6,21,76.87,1,0,1,0,0,0,0,1,0
-46.68133333,-23.56483333,120,0,0,0,0,4,4.3,5,68,2,3,15,47.14,0,1,0,0,0,1,1,0,0
-46.64159444,-23.54664167,150,0,0,0,0,4,4.3,5,46,2,9,9,45.91,0,1,0,0,1,0,1,0,0
-46.643425,-23.545163,400,0,0,0,0,4,4.4,5,37,2,2,12,42.1,1,0,0,1,0,0,1,0,0
-46.63716667,-23.5995,65,0,0,0,0,3,0.0,3,2,2,9,6,56.71,1,0,1,0,0,0,1,0,0
-46.698574,-23.622925,50,0,0,0,0,2,0.0,3,2,2,2,17,59.75,1,0,1,0,0,0,1,0,0
-46.581672,-23.486535,100,0,0,0,0,4,4.4,5,22,2,4,24,59.44,0,1,0,0,0,1,1,0,0
-46.63566667,-23.58516667,70,0,0,0,0,3,4.6,1,58,2,6,10,43.47,1,0,0,1,0,0,1,0,0
-46.746958,-23.609207,120,0,0,0,0,4,4.1,5,11,2,6,19,57.71,1,0,0,1,0,0,0,0,1
-84.221535,31.610387,25,0,0,0,0,2,3.3,0,35,2,1,6,42.82,1,0,1,0,0,0,1,0,0
-84.207095,31.608743,10,0,0,0,0,1,3.3,0,25,2,9,7,43.67,1,0,0,0,0,1,1,0,0
-84.154,31.5772,0,0,0,0,0,1,3.4,0,34,2,1,18,47.7,1,0,0,0,1,0,1,0,0
-84.2194,31.6158,0,0,0,0,0,1,3.4,0,45,2,4,20,52.87,1,0,0,0,0,1,1,0,0
-84.206944,31.622412,10,0,0,0,0,1,3.4,0,26,2,7,6,44.3,1,0,0,1,0,0,1,0,0
-84.1759,31.5882,0,0,0,0,0,1,3.4,0,36,2,3,1,31.99,1,0,0,0,0,1,1,0,0
-84.2193,31.616,10,0,0,0,0,1,3.5,2,67,2,6,18,54.96,1,0,0,0,0,1,1,0,0
-84.2091458,31.6155186,10,0,0,0,0,1,3.9,2,141,2,2,1,25.25,1,0,0,0,1,0,0,0,1
-84.205718,31.604905,25,0,0,0,0,2,3.7,2,147,2,3,7,39.24,0,1,0,0,1,0,1,0,0
-84.223278,31.612121,70,0,0,0,0,4,3.5,2,51,2,4,5,34.28,1,0,0,0,0,1,0,0,1
-84.2191,31.6156,25,0,0,0,0,2,3.6,2,88,2,3,5,43.07,1,0,1,0,0,0,1,0,0
-84.212,31.6104,10,0,0,0,0,1,3.8,2,153,2,4,22,64.86,1,0,1,0,0,0,1,0,0
-84.1534,31.5751,10,0,0,0,0,1,3.9,2,160,2,8,20,59.88,1,0,0,0,1,0,1,0,0
-84.2228,31.6077,25,0,0,0,0,2,3.5,2,57,2,8,19,55.92,1,0,0,1,0,0,1,0,0
-84.2229,31.6185,25,0,0,0,0,2,3.5,2,58,2,4,19,72.06,1,0,1,0,0,0,0,1,0
-84.2164,31.6137,40,0,0,0,0,3,3.6,2,115,2,8,2,46.06,1,0,1,0,0,0,1,0,0
-84.2233,31.6118,40,0,0,0,0,3,3.5,2,51,2,9,11,49.09,0,1,0,0,0,1,0,0,1
-84.205025,31.605882,40,0,0,0,0,3,3.8,2,250,2,8,1,35.31,1,0,0,0,1,0,1,0,0
-84.1757,31.5985,10,0,0,0,0,1,3.7,2,117,2,6,18,56.79,0,1,0,1,0,0,1,0,0
-83.8389,31.5308,10,0,0,0,0,1,3.4,0,20,2,8,6,42.23,1,0,0,0,1,0,1,0,0
151.6688792,-30.5147169,20,0,0,0,0,2,3.5,2,25,2,5,2,46.04,0,1,1,0,0,0,1,0,0
-83.378273,33.957999,40,0,0,0,0,3,4.5,1,1821,2,1,1,28.85,1,0,0,1,0,0,1,0,0
-83.3654,33.9535,10,0,0,0,0,1,4.5,1,849,2,8,2,36.73,1,0,0,1,0,0,1,0,0
-83.4293,33.9652,10,0,0,0,0,1,4.6,1,917,2,9,20,74.3,0,1,1,0,0,0,1,0,0
-83.3389,33.9259,10,0,0,0,0,1,3.9,2,439,2,8,15,56.21,0,1,0,1,0,0,1,0,0
-83.375523,33.958198,10,0,0,0,0,1,3.7,2,289,2,3,19,67.22,1,0,1,0,0,0,0,1,0
-83.384004,33.959392,10,0,0,0,0,1,4.3,5,558,2,5,7,46.38,1,0,0,1,0,0,0,1,0
-83.3797,33.9584,10,0,0,0,0,1,4.2,5,613,2,7,2,39.23,1,0,0,1,0,0,1,0,0
-83.373596,33.958112,25,0,0,0,0,2,4.0,5,353,2,6,3,48.96,0,1,1,0,0,0,1,0,0
-83.33995,33.924275,25,0,0,0,0,2,4.1,5,387,2,6,2,41.8,1,0,0,0,1,0,0,1,0
-83.3872482,33.9415545,40,0,0,0,0,3,4.3,5,755,2,2,13,43.37,0,1,0,0,1,0,1,0,0
-83.381625,33.960112,10,0,0,0,0,1,4.2,5,800,2,7,0,42.67,1,0,1,0,0,0,1,0,0
-83.400887,33.963296,10,0,0,0,0,1,4.1,5,350,2,6,8,53.59,1,0,1,0,0,0,1,0,0
-83.4075,33.9584,40,0,0,0,0,3,4.1,5,464,2,6,0,33.66,0,1,0,0,0,1,1,0,0
-83.379251,33.957503,25,0,0,0,0,2,4.2,5,550,2,3,3,29.67,1,0,0,1,0,0,1,0,0
-83.383605,33.960571,10,0,0,0,0,1,4.1,5,543,2,3,19,51.97,0,1,0,1,0,0,1,0,0
-83.37967,33.959468,40,0,0,0,0,3,4.1,5,465,2,4,18,50.97,1,0,0,1,0,0,1,0,0
-83.38728,33.937502,10,0,0,0,0,1,4.4,5,546,2,1,14,51.83,1,0,1,0,0,0,1,0,0
-83.3764,33.9584,10,0,0,0,0,1,4.4,5,1098,2,4,16,49.15,1,0,0,0,1,0,1,0,0
-83.378881,33.958363,25,0,0,0,0,2,4.2,5,579,2,4,0,27.62,0,1,0,1,0,0,1,0,0
-83.3828224,33.9600227,10,0,0,0,0,1,4.1,5,374,2,4,19,55.68,1,0,0,1,0,0,1,0,0
-82.0865,33.4721,40,0,0,0,0,3,4.6,1,717,2,9,9,55.36,1,0,0,0,0,1,0,1,0
-82.0698,33.4791,40,0,0,0,0,3,4.9,1,548,2,1,16,49.47,1,0,0,0,1,0,0,1,0
-81.97,33.4765,25,0,0,0,0,2,4.5,1,631,2,3,21,54.34,0,1,0,0,0,1,1,0,0
-81.9684,33.474,10,0,0,0,0,1,3.9,2,372,2,5,23,64.58,1,0,0,1,0,0,0,1,0
-81.973006,33.477444,25,0,0,0,0,2,3.9,2,201,1,6,18,45.75,1,0,0,0,1,0,1,0,0
-81.965571,33.481779,40,0,0,0,0,3,3.8,2,332,2,4,20,65.89,0,1,1,0,0,0,1,0,0
-82.0327,33.4086,25,0,0,0,0,2,3.5,2,304,2,7,9,47.66,0,1,0,0,0,1,1,0,0
-81.974944,33.478231,40,0,0,0,0,3,4.3,5,368,2,2,2,38.76,1,0,1,0,0,0,1,0,0
-82.096,33.4827,25,0,0,0,0,2,4.1,5,430,2,5,4,35.28,1,0,0,0,1,0,1,0,0
-81.9721,33.4778,25,0,0,0,0,2,4.4,5,433,2,7,20,56.56,0,1,0,0,1,0,1,0,0
-81.9694,33.4764,10,0,0,0,0,1,4.0,5,380,2,9,14,62.84,0,1,1,0,0,0,1,0,0
-82.0505,33.5133,25,0,0,0,0,2,4.0,5,456,2,3,2,40.58,0,1,0,0,0,1,0,1,0
-82.0301,33.4848,40,0,0,0,0,3,4.2,5,647,2,1,20,65.05,1,0,1,0,0,0,0,1,0
-82.080788,33.467201,40,0,0,0,0,3,4.0,5,360,2,6,18,54.96,1,0,0,0,1,0,1,0,0
-82.0805493,33.5375868,25,0,0,0,0,2,4.0,5,227,3,4,5,48.91,1,0,0,1,0,0,0,1,0
-82.143793,33.544342,25,0,0,0,0,2,3.9,2,290,2,1,3,38.5,0,1,1,0,0,0,1,0,0
-82.126161,33.532249,10,0,0,0,0,1,4.1,5,270,2,7,19,59.63,0,1,0,1,0,0,1,0,0
-82.141284,33.521291,25,0,0,0,0,2,4.0,5,326,2,5,23,72.01,1,0,1,0,0,0,1,0,0
-82.1328,33.5406,35,0,0,0,0,3,4.3,5,317,2,9,5,43.43,0,1,0,1,0,0,1,0,0
-82.1997,33.4574,10,0,0,0,0,1,4.2,5,300,2,1,24,51.59,0,1,0,0,0,1,1,0,0
115.9844924,-33.7845269,20,0,0,0,0,2,3.2,0,21,2,7,22,71.79,0,1,1,0,0,0,1,0,0
146.685852,-36.360439,20,0,0,0,0,2,4.6,1,237,2,4,4,41.64,1,0,0,1,0,0,0,1,0
-116.2019,43.6138,25,0,0,0,0,2,4.5,1,879,2,7,24,61.55,0,1,0,1,0,0,1,0,0
-116.203466,43.616068,25,0,0,0,0,2,4.6,1,615,2,9,10,57.71,1,0,0,0,1,0,0,1,0
-116.2023,43.6149,25,0,0,0,0,2,4.5,1,879,2,8,17,67.17,1,0,1,0,0,0,1,0,0
-116.2064,43.6157,70,0,0,0,0,4,3.9,2,379,2,6,17,56.12,1,0,0,0,0,1,1,0,0
-116.2031,43.614,10,0,0,0,0,1,4.3,5,303,2,1,6,30.71,1,0,0,1,0,0,1,0,0
-116.185034,43.597235,70,0,0,0,0,4,4.1,5,538,2,2,10,56.07,0,1,1,0,0,0,0,1,0
-116.2062,43.5945,10,0,0,0,0,1,4.2,5,334,2,7,13,59.09,0,1,1,0,0,0,1,0,0
-116.2022,43.6167,25,0,0,0,0,2,4.3,5,555,2,5,7,40.18,1,0,0,0,1,0,1,0,0
-116.193409,43.610279,10,0,0,0,0,1,4.4,5,823,1,7,21,55.08,1,0,0,0,1,0,1,0,0
-116.2625,43.6192,25,0,0,0,0,2,4.1,5,550,2,5,11,45.18,0,1,0,1,0,0,1,0,0
-116.202845,43.616295,25,0,0,0,0,2,4.4,5,650,1,5,13,40.81,1,0,0,1,0,0,1,0,0
-116.199,43.615,10,0,0,0,0,1,4.3,5,410,2,7,20,60.38,0,1,0,0,1,0,0,0,1
-116.2463,43.6191,10,0,0,0,0,1,4.4,5,660,2,9,19,58.88,1,0,0,0,0,1,1,0,0
-116.245165,43.6051379,25,0,0,0,0,2,4.4,5,360,2,1,5,29.01,1,0,0,0,1,0,1,0,0
-116.2021,43.6162,40,0,0,0,0,3,4.0,5,340,2,7,6,46.2,1,0,0,0,0,1,0,1,0
-116.2031,43.6156,25,0,0,0,0,2,4.1,5,393,2,8,10,49.48,1,0,0,0,1,0,1,0,0
-116.281809,43.619274,10,0,0,0,0,1,4.3,5,422,2,5,8,39.37,1,0,0,0,1,0,1,0,0
-116.280614,43.591706,40,0,0,0,0,3,4.0,5,435,2,8,1,35.5,1,0,0,1,0,0,1,0,0
-116.347304,43.619108,25,0,0,0,0,2,4.0,5,369,2,5,22,60.77,1,0,0,0,1,0,1,0,0
-116.5629,43.5777,40,0,0,0,0,3,4.4,5,487,2,5,17,49.01,0,1,0,0,0,1,0,0,1
-91.6336,42.0179,40,0,0,0,0,3,3.7,2,98,2,4,18,54.31,1,0,0,0,0,1,1,0,0
-91.6327,42.0281,40,0,0,0,0,3,4.1,5,365,2,4,7,38.49,1,0,0,0,1,0,1,0,0
-91.7148,41.9748,10,0,0,0,0,1,4.1,5,190,2,3,15,46.19,0,1,0,1,0,0,1,0,0
-91.6224,42.0249,40,0,0,0,0,3,4.1,5,429,2,2,18,46.27,1,0,0,1,0,0,1,0,0
-91.6347,42.01,25,0,0,0,0,2,4.4,5,430,2,8,22,60.35,1,0,0,0,1,0,1,0,0
-91.6499622,42.0215347,25,0,0,0,0,2,4.2,5,186,3,1,20,63.75,1,0,0,0,0,1,0,1,0
-91.7266,41.9639,10,0,0,0,0,1,4.2,5,220,2,8,0,35.85,0,1,0,0,0,1,1,0,0
-91.6394,42.0468,10,0,0,0,0,1,4.2,5,347,2,9,6,44.5,1,0,0,0,0,1,1,0,0
-91.569767,41.670466,25,0,0,0,0,2,3.8,2,161,2,6,21,58.85,1,0,0,1,0,0,1,0,0
-91.5687,41.6685,25,0,0,0,0,2,4.1,5,160,3,5,6,46.22,1,0,0,1,0,0,1,0,0
-91.534424,41.660982,10,0,0,0,0,1,4.9,1,820,1,6,13,43.97,0,1,0,0,1,0,1,0,0
-91.531414,41.663849,10,0,0,0,0,1,4.5,1,488,2,1,14,41.63,0,1,0,0,0,1,1,0,0
-91.531093,41.663751,25,0,0,0,0,2,3.6,2,253,2,6,19,55.75,1,0,0,0,1,0,1,0,0
-91.534302,41.658691,40,0,0,0,0,3,3.8,2,220,2,9,24,69.17,1,0,0,1,0,0,1,0,0
-91.5314,41.6648,25,0,0,0,0,2,4.3,5,485,2,4,5,43.58,1,0,1,0,0,0,1,0,0
-91.5341,41.661,40,0,0,0,0,3,4.3,5,428,2,4,9,52.12,1,0,1,0,0,0,1,0,0
-91.482165,41.667742,25,0,0,0,0,2,4.1,5,294,2,3,19,58.47,1,0,1,0,0,0,1,0,0
-91.5318,41.6625,40,0,0,0,0,3,4.0,5,380,2,1,2,35.33,1,0,0,0,1,0,0,1,0
-91.5074,41.6428,25,0,0,0,0,2,4.2,5,259,2,8,19,67.87,0,1,1,0,0,0,1,0,0
-91.5995,42.0331,25,0,0,0,0,2,4.7,1,433,2,9,8,48.77,1,0,0,1,0,0,1,0,0
-82.188438,42.397683,25,0,0,0,0,2,3.7,2,176,2,2,22,58.24,0,1,0,1,0,0,0,1,0
-123.368151,46.126967,10,0,0,0,0,1,4.3,5,96,2,6,10,52.65,1,0,1,0,0,0,1,0,0
-114.472474,51.183934,25,0,0,0,0,2,3.1,0,6,2,6,8,54.9,1,0,1,0,0,0,1,0,0
-84.992671,32.470315,10,0,0,0,0,1,3.3,0,33,2,1,13,38.41,1,0,0,0,1,0,1,0,0
-84.95591,32.519247,25,0,0,0,0,2,4.6,1,489,2,1,23,51.63,1,0,0,1,0,0,1,0,0
-84.927047,32.555591,25,0,0,0,0,2,4.5,1,345,2,3,16,46.21,1,0,0,1,0,0,1,0,0
-84.9436,32.5577,25,0,0,0,0,2,3.8,2,149,2,6,7,38.71,1,0,0,1,0,0,1,0,0
-84.9936,32.4656,25,0,0,0,0,2,3.9,2,330,2,2,13,42.19,1,0,0,0,1,0,1,0,0
-84.954984,32.5382197,40,0,0,0,0,3,3.9,2,247,2,3,12,42.87,1,0,0,1,0,0,1,0,0
-84.9876,32.4637,10,0,0,0,0,1,3.7,2,123,2,2,1,36.08,1,0,1,0,0,0,1,0,0
-84.9933631,32.4652417,40,0,0,0,0,3,3.6,2,109,2,7,4,37.5,1,0,0,1,0,0,1,0,0
-84.96661,32.534002,40,0,0,0,0,3,3.7,2,134,2,7,16,51.32,1,0,0,0,0,1,1,0,0
-84.95367,32.513154,40,0,0,0,0,3,4.2,5,722,2,9,21,62.25,0,1,0,0,0,1,0,0,1
-84.947569,32.504657,25,0,0,0,0,2,4.3,5,213,2,8,17,53.87,1,0,0,1,0,0,1,0,0
-84.9607,32.5393,25,0,0,0,0,2,4.0,5,335,2,3,23,66.53,1,0,1,0,0,0,1,0,0
-84.9464,32.4792,25,0,0,0,0,2,4.0,5,353,2,7,5,48.61,0,1,1,0,0,0,1,0,0
-84.9427,32.481,0,0,0,0,0,1,4.0,5,170,2,8,11,48.58,1,0,0,1,0,0,1,0,0
-84.9557,32.5321,25,0,0,0,0,2,4.1,5,192,2,2,10,47.21,1,0,0,0,0,1,0,1,0
-84.992093,32.466158,40,0,0,0,0,3,4.1,5,302,2,9,18,57.4,1,0,0,0,0,1,1,0,0
-84.938698,32.560905,10,0,0,0,0,1,4.2,5,355,2,5,24,69.25,0,1,0,0,0,1,0,1,0
-84.991384,32.468757,25,0,0,0,0,2,4.3,5,287,2,5,14,60.16,1,0,1,0,0,0,1,0,0
-84.963201,32.527217,40,0,0,0,0,3,4.0,5,264,2,5,7,48.31,1,0,1,0,0,0,1,0,0
-85.0213,32.7455,40,0,0,0,0,3,4.4,5,235,2,8,3,40.35,1,0,0,0,0,1,1,0,0
-110.7746994,52.0082889,25,0,0,0,0,2,3.0,0,6,2,9,8,49.4,0,1,0,0,0,1,1,0,0
-84.9396931,34.5251331,25,0,0,0,0,2,3.7,2,38,2,7,20,70.97,0,1,1,0,0,0,1,0,0
-84.926258,34.474635,10,0,0,0,0,1,4.4,5,122,2,4,21,67.89,1,0,1,0,0,0,1,0,0
-84.9523921,34.4972488,25,0,0,0,0,2,4.4,5,207,2,7,5,43.31,1,0,0,0,0,1,1,0,0
-84.767911,34.752476,10,0,0,0,0,1,3.9,2,66,2,8,19,68.47,0,1,1,0,0,0,0,0,1
-84.969393,34.769686,10,0,0,0,0,1,4.9,1,249,2,5,20,62.23,0,1,0,0,0,1,0,1,0
-85.0039,34.7643,25,0,0,0,0,2,3.8,2,63,2,9,1,38.97,1,0,0,1,0,0,0,0,1
-84.992342,34.759551,40,0,0,0,0,3,3.8,2,145,2,2,16,47.65,1,0,0,1,0,0,1,0,0
-84.992924,34.759665,10,0,0,0,0,1,3.8,2,83,2,6,20,76.45,1,0,1,0,0,0,0,1,0
-84.999678,34.758645,25,0,0,0,0,2,3.7,2,116,2,2,11,51.2,1,0,1,0,0,0,1,0,0
-84.9678,34.7742,10,0,0,0,0,1,4.1,5,122,1,9,13,48.15,0,1,0,1,0,0,1,0,0
-84.990925,34.759273,10,0,0,0,0,1,4.1,5,142,2,4,0,27.57,1,0,0,0,1,0,1,0,0
